,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2015-12-01,1448928000,58.2,49.2,54.7,58.2,46.6,54.6,47.5,77.83,0.14,,8.33,,,,33.3,6.1,252.0,1022.5,0.6,15.6,,,,07:43:20,1448955800,15:55:10,1448985310,0.67,Rain,Clear conditions throughout the day with rain clearing later.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
1,2015-12-02,1449014400,56.0,53.7,54.7,56.0,53.7,54.7,46.3,73.37,0.0,,4.17,,,,31.1,8.4,218.5,1022.9,0.5,16.2,,,,07:44:43,1449042283,15:54:32,1449071672,0.71,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
2,2015-12-03,1449100800,55.7,53.3,54.9,55.7,53.3,54.9,48.4,78.82,0.0,,0.0,,,,34.4,0.1,199.3,1019.4,0.5,11.0,,,,07:46:05,1449128765,15:53:58,1449158038,0.76,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
3,2015-12-04,1449187200,56.0,43.4,50.9,56.0,43.4,50.9,43.1,74.82,0.13,,8.7,,,,34.4,0.1,240.0,1025.1,0.4,18.5,,,,07:47:25,1449215245,15:53:27,1449244407,0.81,Rain,Clear conditions throughout the day with rain clearing later.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
4,2015-12-05,1449273600,55.7,53.0,54.2,55.7,53.0,54.2,43.7,67.51,0.0,,0.0,,,,42.3,21.6,224.1,1019.3,0.6,14.0,,,,07:48:42,1449301722,15:53:00,1449330780,0.85,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
5,2015-12-06,1449360000,57.4,54.6,55.7,57.4,54.6,55.8,49.9,81.03,0.01,,8.33,,,,35.7,19.2,221.5,1016.9,0.6,9.8,,,,07:49:58,1449388198,15:52:35,1449417155,0.9,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
6,2015-12-07,1449446400,56.6,52.8,55.0,56.6,52.8,55.0,51.1,86.53,0.02,,8.33,,,,28.5,12.8,180.3,1023.9,0.4,8.7,,,,07:51:11,1449474671,15:52:14,1449503534,0.93,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
7,2015-12-08,1449532800,56.9,45.8,52.7,56.9,45.8,52.7,46.5,79.68,0.16,,8.33,,,,28.9,9.4,216.4,1022.1,0.3,12.9,,,,07:52:22,1449561142,15:51:56,1449589916,0.96,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
8,2015-12-09,1449619200,53.3,40.7,47.4,53.3,40.7,47.3,40.8,78.24,0.0,,0.0,,,,29.3,12.8,220.8,1032.5,3.2,14.8,,,,07:53:31,1449647611,15:51:42,1449676302,0.99,Clear,Clear conditions throughout the day.,clear-day,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
9,2015-12-10,1449705600,53.9,49.2,52.4,53.9,49.2,52.4,45.7,78.22,0.01,,16.67,,,,32.2,0.1,220.5,1024.8,0.6,11.9,,,,07:54:37,1449734077,15:51:31,1449762691,1.0,Rain,Clear conditions throughout the day with afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
10,2015-12-11,1449792000,51.5,43.1,49.1,51.5,40.3,48.7,43.4,80.79,0.24,,12.5,,,,23.0,11.9,247.6,1021.8,0.5,18.4,,,,07:55:40,1449820540,15:51:23,1449849083,0.0,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
11,2015-12-12,1449878400,56.0,42.2,50.3,56.0,42.2,50.3,43.5,77.77,0.01,,12.5,,,,37.5,0.1,227.5,1018.6,0.6,15.9,,,,07:56:41,1449907001,15:51:19,1449935479,0.01,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
12,2015-12-13,1449964800,55.7,43.8,47.1,55.7,40.9,47.0,44.8,91.81,0.07,,12.5,,,,31.1,5.3,129.4,1018.3,0.6,5.5,,,,07:57:39,1449993459,15:51:18,1450021878,0.02,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
13,2015-12-14,1450051200,50.6,46.1,48.3,50.6,46.1,48.2,44.0,84.92,0.01,,4.17,,,,31.1,6.4,147.0,1016.3,0.6,7.7,,,,07:58:34,1450079914,15:51:20,1450108280,0.05,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
14,2015-12-15,1450137600,55.1,48.8,52.3,55.1,48.8,52.4,50.4,93.14,0.02,,16.67,,,,,0.1,149.7,1016.4,0.6,3.2,,,,07:59:27,1450166367,15:51:26,1450194686,0.09,Rain,Clear conditions throughout the day with rain.,rain,"['03769099999', '03680099999', '03672099999', '03781099999', '03772099999', '03770099999']",obs
